Competition,,Matchday,Date,Venue,For,,Result,Pos.,Minute,At score,Type of goal,Goal assist
,Champions League,Group Stage,11/6/19,A,,Red Star,0:4,LW,57',0:2,Left-footed shot,Dele Alli
,,,,,,,,,61',0:3,Right-footed shot,Danny Rose
,Premier League,12,11/9/19,H,,Sheff Utd (6.),1:1,LW,58',1:0,Right-footed shot,
,Premier League,13,11/23/19,A,,West Ham (16.),2:3,LW,36',0:1,Left-footed shot,Dele Alli
,Premier League,16,12/7/19,H,,Burnley (12.),5:0,LW,32',3:0,Solo run,Jan Vertonghen
,Premier League,24,1/22/20,H,,Norwich (20.),2:1,LW,79',2:1,Header,
,FA Cup,Fourth Round,1/25/20,A,,Southampton,1:1,LW,58',0:1,Left-footed shot,Erik Lamela
,Premier League,25,2/2/20,H,,Man City (2.),2:0,RW,71',2:0,Right-footed shot,Tanguy Ndombélé
,FA Cup,4th round,2/5/20,H,,Southampton,3:2,CF,87',3:2,Penalty,
,Premier League,26,2/16/20,A,,Aston Villa (17.),2:3,CF,45'+2,1:2,Penalty rebound,
,,,,,,,,,90'+4,2:3,Right-footed shot,
,Premier League,35,7/12/20,H,,Arsenal (8.),2:1,SS,19',1:1,Left-footed shot,
,Premier League,36,7/15/20,A,,Newcastle (13.),1:3,LW,27',0:1,Right-footed shot,Giovani Lo Celso
Season 20/21,,,,,,,,,,,,
,Premier League,2,9/20/20,A,,Southampton (13.),2:5,LW,45'+2,1:1,Right-footed shot,Harry Kane
,,,,,,,,,47',1:2,Left-footed shot,Harry Kane
,,,,,,,,,64',1:3,Right-footed shot,Harry Kane
,,,,,,,,,73',1:4,Left-footed shot,Harry Kane
,Europa League Qualifying,Third Round,9/24/20,A,,Shkendija,1:3,CF,70',1:2,Right-footed shot,
,Premier League,4,10/4/20,A,,Man Utd (9.),1:6,LW,7',1:2,Left-footed shot,Harry Kane
,,,,,,,,,37',1:4,Right-footed shot,Serge Aurier
,Premier League,5,10/18/20,H,,West Ham (11.),3:3,LW,1',1:0,Right-footed shot,Harry Kane
,Europa League,group stage,10/22/20,H,,LASK,3:0,LW,84',3:0,Left-footed shot,Carlos Vinícius
,Premier League,6,10/26/20,A,,Burnley (19.),0:1,LW,76',0:1,Header,Harry Kane
,Premier League,9,11/21/20,H,,Man City (7.),2:0,RW,5',1:0,Left-footed shot,Tanguy Ndombélé
,Europa League,group stage,12/3/20,A,,LASK,3:3,CF,56',1:2,Counter attack goal,Tanguy Ndombélé
,Premier League,11,12/6/20,H,,Arsenal (14.),2:0,LW,13',1:0,Right-footed shot,Harry Kane
,Premier League,13,12/16/20,A,,Liverpool (2.),2:1,CF,33',1:1,Right-footed shot,Giovani Lo Celso
,Premier League,17,1/2/21,H,,Leeds (11.),3:0,LW,43',2:0,Right-footed shot,Harry Kane
,EFL Cup,Semi-Finals,1/5/21,H,,Brentford,2:0,LW,70',2:0,Right-footed shot,Tanguy Ndombélé
,Premier League,23,2/7/21,H,,West Brom (19.),2:0,LW,58',2:0,Counter attack goal,Lucas Moura
,Europa League,intermediate stage,2/18/21,A,,Wolfsberger AC,1:4,CF,13',0:1,Header,Gareth Bale
,Premier League,31,4/11/21,H,,Man Utd (2.),1:3,LW,40',1:0,Left-footed shot,Lucas Moura
,Premier League,29,4/21/21,H,,Southampton (14.),2:1,LW,90',2:1,Penalty,
,Premier League,34,5/2/21,H,,Sheff Utd (20.),4:0,LW,77',4:0,Right-footed shot,Steven Bergwijn
,Premier League,35,5/8/21,A,,Leeds (11.),3:1,LW,25',1:1,Right-footed shot,Dele Alli
Season 21/22,,,,,,,,,,,,
,Premier League,1,8/15/21,H,,Man City (1.),1:0,CF,55',1:0,Left-footed shot,Steven Bergwijn
,Premier League,3,8/29/21,H,,Watford (11.),1:0,RW,42',1:0,Direct free kick,
,Premier League,6,9/26/21,A,,Arsenal (13.),3:1,LW,79',3:1,Right-footed shot,Sergio Reguilón
,Premier League,8,10/17/21,A,,Newcastle (19.),2:3,LW,45'+4,1:3,Tap-in,Harry Kane
,Conference League,Group Stage,11/4/21,H,,Vitesse,3:2,LW,14',1:0,Right-footed shot,
,Premier League,14,12/2/21,H,,Brentford (12.),2:0,LW,65',2:0,Right-footed shot,Sergio Reguilón
,Premier League,15,12/5/21,H,,Norwich (19.),3:0,LW,77',3:0,Right-footed shot,Ben Davies
,Premier League,18,12/19/21,H,,Liverpool (2.),2:2,CF,74',2:2,Left-footed shot,
,Premier League,19,12/26/21,H,,Crystal Palace (9.),3:0,LW,74',3:0,Left-footed shot,Lucas Moura
,Premier League,24,2/9/22,H,,Southampton (13.),2:3,LW,70',2:1,Left-footed shot,Lucas Moura
,Premier League,27,2/26/22,A,,Leeds (18.),0:4,LW,85',0:4,Right-footed shot,Harry Kane
,Premier League,28,3/7/22,H,,Everton (15.),5:0,LW,17',2:0,Right-footed shot,Dejan Kulusevski
,Premier League,30,3/20/22,H,,West Ham (7.),3:1,LW,24',2:0,Left-footed shot,Harry Kane
,,,,,,,,,88',3:1,Right-footed shot,Harry Kane
,Premier League,31,4/3/22,H,,Newcastle (13.),5:1,LW,54',3:1,Left-footed shot,Dejan Kulusevski
,Premier League,32,4/9/22,A,,Aston Villa (11.),0:4,LW,3',0:1,Left-footed shot,
,,,,,,,,,66',0:3,Left-footed shot,Harry Kane
